"Annotation Protein Groups Group ID"	"Checked"	"Tags"	"Annotation Accession"	"Annotation Level"	"Annotation Description"	"Annotation Source"	"# Master Proteins"	"# Proteins"	"# Reference Proteins"	"Coverage [%]"
"1092"	"False"	""	"GO:0002329"	"IntermediateAnnotation"	"pre-B cell differentiation"	"GOAnnotation"	"1"	"1"	"2"	"50"
"1093"	"False"	""	"GO:0002327"	"IntermediateAnnotation"	"immature B cell differentiation"	"GOAnnotation"	"2"	"2"	"5"	"40"
"1094"	"False"	""	"GO:0030183"	"IntermediateAnnotation"	"B cell differentiation"	"GOAnnotation"	"2"	"2"	"52"	"4"
"1095"	"False"	""	"GO:0030098"	"IntermediateAnnotation"	"lymphocyte differentiation"	"GOAnnotation"	"2"	"2"	"133"	"2"
"1096"	"False"	""	"GO:0042113"	"IntermediateAnnotation"	"B cell activation"	"GOAnnotation"	"3"	"3"	"87"	"3"
"1097"	"False"	""	"GO:0046649"	"IntermediateAnnotation"	"lymphocyte activation"	"GOAnnotation"	"3"	"3"	"274"	"1"
"1098"	"False"	""	"GO:1903131"	"IntermediateAnnotation"	"mononuclear cell differentiation"	"GOAnnotation"	"2"	"2"	"171"	"1"
"1099"	"False"	""	"GO:0045321"	"IntermediateAnnotation"	"leukocyte activation"	"GOAnnotation"	"6"	"6"	"360"	"2"
"1100"	"False"	""	"GO:0002521"	"IntermediateAnnotation"	"leukocyte differentiation"	"GOAnnotation"	"3"	"3"	"196"	"2"
"1101"	"False"	""	"GO:0001775"	"IntermediateAnnotation"	"cell activation"	"GOAnnotation"	"12"	"12"	"437"	"3"
"1102"	"False"	""	"GO:0030097"	"IntermediateAnnotation"	"hemopoiesis"	"GOAnnotation"	"3"	"3"	"289"	"1"
"1103"	"False"	""	"GO:0048468"	"IntermediateAnnotation"	"cell development"	"GOAnnotation"	"14"	"14"	"965"	"1"
"1104"	"False"	""	"GO:0050829"	"IntermediateAnnotation"	"defense response to Gram-negative bacterium"	"GOAnnotation"	"2"	"2"	"42"	"5"
"1105"	"False"	""	"GO:0071753"	"IntermediateAnnotation"	"IgM immunoglobulin complex"	"GOAnnotation"	"6"	"6"	"10"	"60"
"1106"	"False"	""	"GO:0071755"	"LeafAnnotation"	"IgM B cell receptor complex"	"GOAnnotation"	"1"	"1"	"3"	"33"
"1107"	"False"	""	"GO:0019815"	"IntermediateAnnotation"	"B cell receptor complex"	"GOAnnotation"	"1"	"1"	"6"	"17"
"1108"	"False"	""	"GO:0098802"	"IntermediateAnnotation"	"plasma membrane signaling receptor complex"	"GOAnnotation"	"3"	"3"	"237"	"1"
"1109"	"False"	""	"GO:0043235"	"IntermediateAnnotation"	"receptor complex"	"GOAnnotation"	"5"	"5"	"426"	"1"
"1110"	"False"	""	"GO:0071756"	"LeafAnnotation"	"pentameric IgM immunoglobulin complex"	"GOAnnotation"	"3"	"3"	"3"	"100"
"1111"	"False"	""	"GO:0071754"	"IntermediateAnnotation"	"IgM immunoglobulin complex, circulating"	"GOAnnotation"	"3"	"3"	"3"	"100"
"1112"	"False"	""	"GO:0071757"	"LeafAnnotation"	"hexameric IgM immunoglobulin complex"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1113"	"False"	""	"Pf00008"	"LeafAnnotation"	"EGF-like domain"	"Pfam"	"5"	"5"	"45"	"11"
"1114"	"False"	""	"Pf00594"	"LeafAnnotation"	"Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain"	"Pfam"	"4"	"4"	"11"	"36"
"1115"	"False"	""	"Pf14670"	"LeafAnnotation"	"Coagulation Factor Xa inhibitory site"	"Pfam"	"5"	"5"	"22"	"23"
"1116"	"False"	""	"GO:0009897"	"IntermediateAnnotation"	"external side of plasma membrane"	"GOAnnotation"	"12"	"12"	"398"	"3"
"1117"	"False"	""	"GO:0098552"	"IntermediateAnnotation"	"side of membrane"	"GOAnnotation"	"15"	"15"	"686"	"2"
"1118"	"False"	""	"GO:0032008"	"IntermediateAnnotation"	"positive regulation of TOR signaling"	"GOAnnotation"	"1"	"1"	"31"	"3"
"1119"	"False"	""	"GO:0032006"	"IntermediateAnnotation"	"regulation of TOR signaling"	"GOAnnotation"	"1"	"1"	"52"	"2"
"1120"	"False"	""	"GO:0001851"	"LeafAnnotation"	"complement component C3b binding"	"GOAnnotation"	"5"	"5"	"10"	"50"
"1121"	"False"	""	"GO:0001846"	"IntermediateAnnotation"	"opsonin binding"	"GOAnnotation"	"7"	"7"	"19"	"37"
"1122"	"False"	""	"GO:0001848"	"IntermediateAnnotation"	"complement binding"	"GOAnnotation"	"9"	"10"	"24"	"42"
"1123"	"False"	""	"Pf00245"	"LeafAnnotation"	"Alkaline phosphatase"	"Pfam"	"1"	"1"	"4"	"25"
"1124"	"False"	""	"GO:0001958"	"LeafAnnotation"	"endochondral ossification"	"GOAnnotation"	"1"	"1"	"10"	"10"
"1125"	"False"	""	"GO:0036075"	"IntermediateAnnotation"	"replacement ossification"	"GOAnnotation"	"1"	"1"	"10"	"10"
"1126"	"False"	""	"GO:0060350"	"IntermediateAnnotation"	"endochondral bone morphogenesis"	"GOAnnotation"	"1"	"1"	"19"	"5"
"1127"	"False"	""	"GO:0060349"	"IntermediateAnnotation"	"bone morphogenesis"	"GOAnnotation"	"1"	"1"	"31"	"3"
"1128"	"False"	""	"GO:0009887"	"IntermediateAnnotation"	"animal organ morphogenesis"	"GOAnnotation"	"4"	"4"	"360"	"1"
"1129"	"False"	""	"GO:0048705"	"IntermediateAnnotation"	"skeletal system morphogenesis"	"GOAnnotation"	"2"	"2"	"63"	"3"
"1130"	"False"	""	"GO:0060348"	"IntermediateAnnotation"	"bone development"	"GOAnnotation"	"2"	"2"	"73"	"3"
"1131"	"False"	""	"GO:0003006"	"IntermediateAnnotation"	"developmental process involved in reproduction"	"GOAnnotation"	"8"	"8"	"261"	"3"
"1132"	"False"	""	"GO:0004035"	"LeafAnnotation"	"alkaline phosphatase activity"	"GOAnnotation"	"1"	"1"	"4"	"25"
"1133"	"False"	""	"GO:0016791"	"IntermediateAnnotation"	"phosphatase activity"	"GOAnnotation"	"2"	"2"	"104"	"2"
"1134"	"False"	""	"GO:0004427"	"LeafAnnotation"	"inorganic diphosphate phosphatase activity"	"GOAnnotation"	"1"	"1"	"2"	"50"
"1135"	"False"	""	"GO:0016462"	"IntermediateAnnotation"	"pyrophosphatase activity"	"GOAnnotation"	"2"	"2"	"321"	"1"
"1136"	"False"	""	"GO:0016818"	"IntermediateAnnotation"	"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	"GOAnnotation"	"2"	"2"	"322"	"1"
"1137"	"False"	""	"GO:0016817"	"IntermediateAnnotation"	"hydrolase activity, acting on acid anhydrides"	"GOAnnotation"	"2"	"2"	"322"	"1"
"1138"	"False"	""	"GO:0005758"	"IntermediateAnnotation"	"mitochondrial intermembrane space"	"GOAnnotation"	"1"	"1"	"17"	"6"
"1139"	"False"	""	"GO:0031970"	"IntermediateAnnotation"	"organelle envelope lumen"	"GOAnnotation"	"2"	"2"	"23"	"9"
"1140"	"False"	""	"GO:0016887"	"LeafAnnotation"	"ATP hydrolysis activity"	"GOAnnotation"	"2"	"2"	"113"	"2"
"1141"	"False"	""	"GO:0017111"	"IntermediateAnnotation"	"ribonucleoside triphosphate phosphatase activity"	"GOAnnotation"	"2"	"2"	"309"	"1"
"1142"	"False"	""	"GO:0140657"	"IntermediateAnnotation"	"ATP-dependent activity"	"GOAnnotation"	"3"	"3"	"176"	"2"
"1143"	"False"	""	"GO:0030282"	"IntermediateAnnotation"	"bone mineralization"	"GOAnnotation"	"1"	"1"	"21"	"5"
"1144"	"False"	""	"GO:0031214"	"IntermediateAnnotation"	"biomineral tissue development"	"GOAnnotation"	"2"	"2"	"40"	"5"
"1145"	"False"	""	"GO:0032496"	"IntermediateAnnotation"	"response to lipopolysaccharide"	"GOAnnotation"	"4"	"4"	"169"	"2"
"1146"	"False"	""	"GO:0002237"	"IntermediateAnnotation"	"response to molecule of bacterial origin"	"GOAnnotation"	"4"	"5"	"180"	"3"
"1147"	"False"	""	"GO:0033993"	"IntermediateAnnotation"	"response to lipid"	"GOAnnotation"	"13"	"13"	"393"	"3"
"1148"	"False"	""	"GO:0032868"	"IntermediateAnnotation"	"response to insulin"	"GOAnnotation"	"3"	"3"	"106"	"3"
"1149"	"False"	""	"GO:0043434"	"IntermediateAnnotation"	"response to peptide hormone"	"GOAnnotation"	"4"	"4"	"203"	"2"
"1150"	"False"	""	"GO:0009725"	"IntermediateAnnotation"	"response to hormone"	"GOAnnotation"	"9"	"9"	"380"	"2"
"1151"	"False"	""	"GO:1901698"	"IntermediateAnnotation"	"response to nitrogen compound"	"GOAnnotation"	"5"	"5"	"527"	"1"
"1152"	"False"	""	"GO:0009719"	"IntermediateAnnotation"	"response to endogenous stimulus"	"GOAnnotation"	"10"	"10"	"570"	"2"
"1153"	"False"	""	"GO:0033280"	"IntermediateAnnotation"	"response to vitamin D"	"GOAnnotation"	"1"	"1"	"16"	"6"
"1154"	"False"	""	"GO:0014070"	"IntermediateAnnotation"	"response to organic cyclic compound"	"GOAnnotation"	"9"	"9"	"413"	"2"
"1155"	"False"	""	"GO:0033273"	"IntermediateAnnotation"	"response to vitamin"	"GOAnnotation"	"3"	"3"	"36"	"8"
"1156"	"False"	""	"GO:0007584"	"IntermediateAnnotation"	"response to nutrient"	"GOAnnotation"	"6"	"6"	"68"	"9"
"1157"	"False"	""	"GO:0033883"	"LeafAnnotation"	"pyridoxal phosphatase activity"	"GOAnnotation"	"1"	"1"	"2"	"50"
"1158"	"False"	""	"GO:0034516"	"IntermediateAnnotation"	"response to vitamin B6"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1159"	"False"	""	"GO:0036005"	"IntermediateAnnotation"	"response to macrophage colony-stimulating factor"	"GOAnnotation"	"1"	"1"	"9"	"11"
"1160"	"False"	""	"GO:0034097"	"IntermediateAnnotation"	"response to cytokine"	"GOAnnotation"	"10"	"10"	"417"	"2"
"1161"	"False"	""	"GO:1901652"	"IntermediateAnnotation"	"response to peptide"	"GOAnnotation"	"10"	"10"	"424"	"2"
"1162"	"False"	""	"GO:0042822"	"IntermediateAnnotation"	"pyridoxal phosphate metabolic process"	"GOAnnotation"	"1"	"1"	"2"	"50"
"1163"	"False"	""	"GO:0006081"	"IntermediateAnnotation"	"aldehyde metabolic process"	"GOAnnotation"	"1"	"1"	"13"	"8"
"1164"	"False"	""	"GO:0042816"	"IntermediateAnnotation"	"vitamin B6 metabolic process"	"GOAnnotation"	"1"	"1"	"3"	"33"
"1165"	"False"	""	"GO:0006767"	"IntermediateAnnotation"	"water-soluble vitamin metabolic process"	"GOAnnotation"	"2"	"2"	"27"	"7"
"1166"	"False"	""	"GO:0072524"	"IntermediateAnnotation"	"pyridine-containing compound metabolic process"	"GOAnnotation"	"1"	"1"	"23"	"4"
"1167"	"False"	""	"GO:0043262"	"LeafAnnotation"	"ADP phosphatase activity"	"GOAnnotation"	"1"	"1"	"4"	"25"
"1168"	"False"	""	"GO:0017110"	"IntermediateAnnotation"	"nucleoside diphosphate phosphatase activity"	"GOAnnotation"	"1"	"1"	"9"	"11"
"1169"	"False"	""	"GO:0046677"	"IntermediateAnnotation"	"response to antibiotic"	"GOAnnotation"	"1"	"1"	"14"	"7"
"1170"	"False"	""	"GO:0050187"	"LeafAnnotation"	"phosphoamidase activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1171"	"False"	""	"GO:0016825"	"IntermediateAnnotation"	"hydrolase activity, acting on acid phosphorus-nitrogen bonds"	"GOAnnotation"	"1"	"1"	"2"	"50"
"1172"	"False"	""	"GO:0051384"	"IntermediateAnnotation"	"response to glucocorticoid"	"GOAnnotation"	"5"	"5"	"57"	"9"
"1173"	"False"	""	"GO:0031960"	"IntermediateAnnotation"	"response to corticosteroid"	"GOAnnotation"	"5"	"5"	"71"	"7"
"1174"	"False"	""	"GO:0048545"	"IntermediateAnnotation"	"response to steroid hormone"	"GOAnnotation"	"5"	"5"	"118"	"4"
"1175"	"False"	""	"GO:0052732"	"LeafAnnotation"	"phosphoethanolamine phosphatase activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1176"	"False"	""	"GO:0055062"	"IntermediateAnnotation"	"phosphate ion homeostasis"	"GOAnnotation"	"1"	"1"	"16"	"6"
"1177"	"False"	""	"GO:0055074"	"IntermediateAnnotation"	"calcium ion homeostasis"	"GOAnnotation"	"3"	"3"	"133"	"2"
"1178"	"False"	""	"GO:0071407"	"IntermediateAnnotation"	"cellular response to organic cyclic compound"	"GOAnnotation"	"5"	"5"	"239"	"2"
"1179"	"False"	""	"GO:0071529"	"LeafAnnotation"	"cementum mineralization"	"GOAnnotation"	"1"	"1"	"4"	"25"
"1180"	"False"	""	"GO:0034505"	"IntermediateAnnotation"	"tooth mineralization"	"GOAnnotation"	"1"	"1"	"11"	"9"
"1181"	"False"	""	"GO:0042476"	"IntermediateAnnotation"	"odontogenesis"	"GOAnnotation"	"1"	"1"	"57"	"2"
"1182"	"False"	""	"GO:0120162"	"LeafAnnotation"	"positive regulation of cold-induced thermogenesis"	"GOAnnotation"	"2"	"2"	"49"	"4"
"1183"	"False"	""	"GO:0120161"	"IntermediateAnnotation"	"regulation of cold-induced thermogenesis"	"GOAnnotation"	"2"	"2"	"62"	"3"
"1184"	"False"	""	"GO:0140651"	"LeafAnnotation"	"futile creatine cycle"	"GOAnnotation"	"1"	"1"	"2"	"50"
"1185"	"False"	""	"GO:1990845"	"IntermediateAnnotation"	"adaptive thermogenesis"	"GOAnnotation"	"1"	"1"	"14"	"7"
"1186"	"False"	""	"GO:0140928"	"LeafAnnotation"	"inhibition of non-skeletal tissue mineralization"	"GOAnnotation"	"1"	"1"	"4"	"25"
"1187"	"False"	""	"GO:0001894"	"IntermediateAnnotation"	"tissue homeostasis"	"GOAnnotation"	"3"	"3"	"126"	"2"
"1188"	"False"	""	"GO:0060249"	"IntermediateAnnotation"	"anatomical structure homeostasis"	"GOAnnotation"	"3"	"3"	"126"	"2"
"1189"	"False"	""	"GO:0048871"	"IntermediateAnnotation"	"multicellular organismal-level homeostasis"	"GOAnnotation"	"7"	"7"	"322"	"2"
"1190"	"False"	""	"GO:1904383"	"IntermediateAnnotation"	"response to sodium phosphate"	"GOAnnotation"	"1"	"1"	"6"	"17"
"1191"	"False"	""	"GO:1902074"	"IntermediateAnnotation"	"response to salt"	"GOAnnotation"	"1"	"1"	"12"	"8"
"1192"	"False"	""	"Pf00054"	"LeafAnnotation"	"Laminin G domain"	"Pfam"	"2"	"2"	"7"	"29"
"1193"	"False"	""	"Pf02210"	"LeafAnnotation"	"Laminin G domain"	"Pfam"	"1"	"1"	"24"	"4"
"1194"	"False"	""	"Pf07645"	"LeafAnnotation"	"Calcium-binding EGF domain"	"Pfam"	"2"	"2"	"36"	"6"
"1195"	"False"	""	"Pf12661"	"LeafAnnotation"	"Human growth factor-like EGF"	"Pfam"	"1"	"1"	"19"	"5"
"1196"	"False"	""	"GO:0000139"	"IntermediateAnnotation"	"Golgi membrane"	"GOAnnotation"	"3"	"3"	"310"	"1"
"1197"	"False"	""	"Pf00086"	"LeafAnnotation"	"Thyroglobulin type-1 repeat"	"Pfam"	"1"	"1"	"8"	"12"
"1198"	"False"	""	"Pf00219"	"LeafAnnotation"	"Insulin-like growth factor binding protein"	"Pfam"	"1"	"1"	"6"	"17"
"1199"	"False"	""	"GO:0000165"	"IntermediateAnnotation"	"MAPK cascade"	"GOAnnotation"	"4"	"4"	"106"	"4"
"1200"	"False"	""	"GO:0141124"	"IntermediateAnnotation"	"intracellular signaling cassette"	"GOAnnotation"	"8"	"8"	"478"	"2"
"1201"	"False"	""	"GO:0035556"	"IntermediateAnnotation"	"intracellular signal transduction"	"GOAnnotation"	"11"	"11"	"779"	"1"
"1202"	"False"	""	"GO:0001558"	"IntermediateAnnotation"	"regulation of cell growth"	"GOAnnotation"	"7"	"7"	"188"	"4"
"1203"	"False"	""	"GO:0001649"	"IntermediateAnnotation"	"osteoblast differentiation"	"GOAnnotation"	"1"	"1"	"35"	"3"
"1204"	"False"	""	"GO:0001933"	"IntermediateAnnotation"	"negative regulation of protein phosphorylation"	"GOAnnotation"	"6"	"6"	"128"	"5"
"1205"	"False"	""	"GO:0031400"	"IntermediateAnnotation"	"negative regulation of protein modification process"	"GOAnnotation"	"6"	"6"	"159"	"4"
"1206"	"False"	""	"GO:0042326"	"IntermediateAnnotation"	"negative regulation of phosphorylation"	"GOAnnotation"	"6"	"6"	"136"	"4"
"1207"	"False"	""	"GO:0045936"	"IntermediateAnnotation"	"negative regulation of phosphate metabolic process"	"GOAnnotation"	"7"	"7"	"153"	"5"
"1208"	"False"	""	"GO:0010563"	"IntermediateAnnotation"	"negative regulation of phosphorus metabolic process"	"GOAnnotation"	"7"	"7"	"153"	"5"
"1209"	"False"	""	"GO:0001968"	"LeafAnnotation"	"fibronectin binding"	"GOAnnotation"	"3"	"3"	"18"	"17"
"1210"	"False"	""	"GO:0005520"	"IntermediateAnnotation"	"insulin-like growth factor binding"	"GOAnnotation"	"1"	"1"	"10"	"10"
"1211"	"False"	""	"GO:0019838"	"IntermediateAnnotation"	"growth factor binding"	"GOAnnotation"	"4"	"4"	"91"	"4"
"1212"	"False"	""	"GO:0006468"	"IntermediateAnnotation"	"protein phosphorylation"	"GOAnnotation"	"3"	"3"	"180"	"2"
"1213"	"False"	""	"GO:0016310"	"IntermediateAnnotation"	"phosphorylation"	"GOAnnotation"	"3"	"3"	"205"	"1"
"1214"	"False"	""	"GO:0036211"	"IntermediateAnnotation"	"protein modification process"	"GOAnnotation"	"7"	"7"	"463"	"2"
"1215"	"False"	""	"GO:0043412"	"IntermediateAnnotation"	"macromolecule modification"	"GOAnnotation"	"7"	"7"	"469"	"1"
"1216"	"False"	""	"GO:0006915"	"IntermediateAnnotation"	"apoptotic process"	"GOAnnotation"	"5"	"5"	"402"	"1"
"1217"	"False"	""	"GO:0012501"	"IntermediateAnnotation"	"programmed cell death"	"GOAnnotation"	"7"	"7"	"422"	"2"
"1218"	"False"	""	"GO:0008219"	"IntermediateAnnotation"	"cell death"	"GOAnnotation"	"7"	"7"	"424"	"2"
"1219"	"False"	""	"GO:0008160"	"LeafAnnotation"	"protein tyrosine phosphatase activator activity"	"GOAnnotation"	"1"	"1"	"3"	"33"
"1220"	"False"	""	"GO:0072542"	"IntermediateAnnotation"	"protein phosphatase activator activity"	"GOAnnotation"	"1"	"1"	"5"	"20"
"1221"	"False"	""	"GO:0019211"	"IntermediateAnnotation"	"phosphatase activator activity"	"GOAnnotation"	"1"	"1"	"6"	"17"
"1222"	"False"	""	"GO:0019888"	"IntermediateAnnotation"	"protein phosphatase regulator activity"	"GOAnnotation"	"1"	"1"	"19"	"5"
"1223"	"False"	""	"GO:0019208"	"IntermediateAnnotation"	"phosphatase regulator activity"	"GOAnnotation"	"1"	"1"	"23"	"4"
"1224"	"False"	""	"GO:0008285"	"IntermediateAnnotation"	"negative regulation of cell population proliferation"	"GOAnnotation"	"12"	"12"	"293"	"4"
"1225"	"False"	""	"GO:0010906"	"IntermediateAnnotation"	"regulation of glucose metabolic process"	"GOAnnotation"	"4"	"4"	"36"	"11"
"1226"	"False"	""	"GO:0006109"	"IntermediateAnnotation"	"regulation of carbohydrate metabolic process"	"GOAnnotation"	"4"	"4"	"82"	"5"
"1227"	"False"	""	"GO:0014912"	"IntermediateAnnotation"	"negative regulation of smooth muscle cell migration"	"GOAnnotation"	"2"	"2"	"15"	"13"
"1228"	"False"	""	"GO:0016942"	"IntermediateAnnotation"	"insulin-like growth factor binding protein complex"	"GOAnnotation"	"1"	"1"	"4"	"25"
"1229"	"False"	""	"GO:0036454"	"IntermediateAnnotation"	"growth factor complex"	"GOAnnotation"	"1"	"1"	"5"	"20"
"1230"	"False"	""	"GO:0031994"	"LeafAnnotation"	"insulin-like growth factor I binding"	"GOAnnotation"	"1"	"1"	"7"	"14"
"1231"	"False"	""	"GO:0031995"	"LeafAnnotation"	"insulin-like growth factor II binding"	"GOAnnotation"	"1"	"1"	"5"	"20"
"1232"	"False"	""	"GO:0042567"	"LeafAnnotation"	"insulin-like growth factor ternary complex"	"GOAnnotation"	"1"	"1"	"4"	"25"
"1233"	"False"	""	"GO:0043065"	"IntermediateAnnotation"	"positive regulation of apoptotic process"	"GOAnnotation"	"8"	"8"	"223"	"4"
"1234"	"False"	""	"GO:0042981"	"IntermediateAnnotation"	"regulation of apoptotic process"	"GOAnnotation"	"15"	"15"	"584"	"3"
"1235"	"False"	""	"GO:0043068"	"IntermediateAnnotation"	"positive regulation of programmed cell death"	"GOAnnotation"	"8"	"8"	"233"	"3"
"1236"	"False"	""	"GO:0043067"	"IntermediateAnnotation"	"regulation of programmed cell death"	"GOAnnotation"	"16"	"16"	"605"	"3"
"1237"	"False"	""	"GO:0043567"	"IntermediateAnnotation"	"regulation of insulin-like growth factor receptor signaling pathway"	"GOAnnotation"	"1"	"1"	"12"	"8"
"1238"	"False"	""	"GO:0043568"	"LeafAnnotation"	"positive regulation of insulin-like growth factor receptor signaling pathway"	"GOAnnotation"	"1"	"1"	"9"	"11"
"1239"	"False"	""	"GO:0044342"	"LeafAnnotation"	"type B pancreatic cell proliferation"	"GOAnnotation"	"1"	"1"	"7"	"14"
"1240"	"False"	""	"GO:0050673"	"IntermediateAnnotation"	"epithelial cell proliferation"	"GOAnnotation"	"3"	"3"	"82"	"4"
"1241"	"False"	""	"GO:0008283"	"IntermediateAnnotation"	"cell population proliferation"	"GOAnnotation"	"4"	"4"	"291"	"1"
"1242"	"False"	""	"GO:0045663"	"IntermediateAnnotation"	"positive regulation of myoblast differentiation"	"GOAnnotation"	"1"	"1"	"13"	"8"
"1243"	"False"	""	"GO:0045661"	"IntermediateAnnotation"	"regulation of myoblast differentiation"	"GOAnnotation"	"1"	"1"	"25"	"4"
"1244"	"False"	""	"GO:0048662"	"IntermediateAnnotation"	"negative regulation of smooth muscle cell proliferation"	"GOAnnotation"	"4"	"4"	"21"	"19"
"1245"	"False"	""	"GO:0001618"	"LeafAnnotation"	"virus receptor activity"	"GOAnnotation"	"1"	"1"	"75"	"1"
"1246"	"False"	""	"GO:0046718"	"IntermediateAnnotation"	"symbiont entry into host cell"	"GOAnnotation"	"1"	"1"	"100"	"1"
"1247"	"False"	""	"GO:0044409"	"IntermediateAnnotation"	"symbiont entry into host"	"GOAnnotation"	"1"	"1"	"100"	"1"
"1248"	"False"	""	"GO:0019058"	"IntermediateAnnotation"	"viral life cycle"	"GOAnnotation"	"2"	"2"	"136"	"1"
"1249"	"False"	""	"GO:0016032"	"IntermediateAnnotation"	"viral process"	"GOAnnotation"	"2"	"2"	"157"	"1"
"1250"	"False"	""	"GO:0005771"	"IntermediateAnnotation"	"multivesicular body"	"GOAnnotation"	"2"	"2"	"45"	"4"
"1251"	"False"	""	"GO:0008021"	"IntermediateAnnotation"	"synaptic vesicle"	"GOAnnotation"	"1"	"1"	"159"	"1"
"1252"	"False"	""	"GO:0070382"	"IntermediateAnnotation"	"exocytic vesicle"	"GOAnnotation"	"2"	"2"	"178"	"1"
"1253"	"False"	""	"GO:0098793"	"IntermediateAnnotation"	"presynapse"	"GOAnnotation"	"2"	"2"	"422"	"0"
"1254"	"False"	""	"GO:0030133"	"IntermediateAnnotation"	"transport vesicle"	"GOAnnotation"	"2"	"2"	"280"	"1"
"1255"	"False"	""	"GO:0045202"	"IntermediateAnnotation"	"synapse"	"GOAnnotation"	"9"	"10"	"986"	"1"
"1256"	"False"	""	"GO:0030054"	"IntermediateAnnotation"	"cell junction"	"GOAnnotation"	"12"	"13"	"1386"	"1"
"1257"	"False"	""	"GO:0042383"	"IntermediateAnnotation"	"sarcolemma"	"GOAnnotation"	"1"	"1"	"112"	"1"
"1258"	"False"	""	"GO:0042470"	"IntermediateAnnotation"	"melanosome"	"GOAnnotation"	"3"	"3"	"76"	"4"
"1259"	"False"	""	"GO:0048770"	"IntermediateAnnotation"	"pigment granule"	"GOAnnotation"	"3"	"3"	"76"	"4"
"1260"	"False"	""	"GO:0043323"	"LeafAnnotation"	"positive regulation of natural killer cell degranulation"	"GOAnnotation"	"1"	"1"	"5"	"20"
"1261"	"False"	""	"GO:0043302"	"IntermediateAnnotation"	"positive regulation of leukocyte degranulation"	"GOAnnotation"	"1"	"1"	"22"	"5"
"1262"	"False"	""	"GO:0043321"	"IntermediateAnnotation"	"regulation of natural killer cell degranulation"	"GOAnnotation"	"1"	"1"	"5"	"20"
"1263"	"False"	""	"GO:0045954"	"IntermediateAnnotation"	"positive regulation of natural killer cell mediated cytotoxicity"	"GOAnnotation"	"2"	"2"	"24"	"8"
"1264"	"False"	""	"GO:0002699"	"IntermediateAnnotation"	"positive regulation of immune effector process"	"GOAnnotation"	"7"	"7"	"172"	"4"
"1265"	"False"	""	"GO:0043300"	"IntermediateAnnotation"	"regulation of leukocyte degranulation"	"GOAnnotation"	"1"	"1"	"39"	"3"
"1266"	"False"	""	"GO:1903307"	"IntermediateAnnotation"	"positive regulation of regulated secretory pathway"	"GOAnnotation"	"1"	"1"	"41"	"2"
"1267"	"False"	""	"GO:0042269"	"IntermediateAnnotation"	"regulation of natural killer cell mediated cytotoxicity"	"GOAnnotation"	"2"	"2"	"39"	"5"
